settlement_id,txn_id,date,amount
STL0D4380BA,TXN1001,2024-01-23,565.54
STL7BADC293,TXN1002,2024-01-09,1123.82
STLF11AA863,TXN1003,2024-01-23,3705.93
STL98B720C9,TXN1004,2024-01-20,2115.39
STL786115EF,TXN1005,2024-01-04,1101.0
STL3DC999C8,TXN1006,2024-01-20,1002.2
STL269BCF46,TXN1007,2024-01-10,2251.55
STL392ED3A9,TXN1008,2024-01-27,4347.81
STLA82987E8,TXN1009,2024-01-25,2118.85
STL75DFDEE2,TXN1010,2024-01-07,1084.42
STL32860C17,TXN1011,2024-01-05,472.8
STLC5EA6131,TXN1012,2024-01-14,4239.0
STLC2802BC9,TXN1013,2024-01-28,226.82
STL0D3FE51B,TXN1014,2024-01-20,632.88
STL49E7B749,TXN1015,2024-01-05,2764.68
STLA18D6240,TXN1016,2024-01-20,969.52
STL1CB0FA5D,TXN1017,2024-01-04,3309.7
STL67E426E9,TXN1018,2024-01-04,4278.04
STLACE21FC4,TXN1019,2024-01-15,1397.09
STL8FA0BCCB,TXN1020,2024-01-07,1857.2
STLC41FB616,TXN1021,2024-02-03,1234.56
STLA9071620,TXN1022,2024-01-07,999.98
STL2BEFFA91,TXN1023,2024-01-12,450.00
STLA5CE2631,TXN1023,2024-01-12,450.00
STLFE1F6342,TXN9999,2024-01-03,100.00
