txn_id,date,amount,type
TXN1001,2024-01-21,565.54,PAYMENT
TXN1002,2024-01-08,1123.82,PAYMENT
TXN1003,2024-01-22,3705.93,PAYMENT
TXN1004,2024-01-19,2115.39,PAYMENT
TXN1005,2024-01-03,1101.0,PAYMENT
TXN1006,2024-01-18,1002.2,PAYMENT
TXN1007,2024-01-08,2251.55,PAYMENT
TXN1008,2024-01-26,4347.81,PAYMENT
TXN1009,2024-01-23,2118.85,PAYMENT
TXN1010,2024-01-05,1084.42,PAYMENT
TXN1011,2024-01-04,472.8,PAYMENT
TXN1012,2024-01-12,4239.0,PAYMENT
TXN1013,2024-01-26,226.82,PAYMENT
TXN1014,2024-01-18,632.88,PAYMENT
TXN1015,2024-01-03,2764.68,PAYMENT
TXN1016,2024-01-19,969.52,PAYMENT
TXN1017,2024-01-02,3309.7,PAYMENT
TXN1018,2024-01-03,4278.04,PAYMENT
TXN1019,2024-01-13,1397.09,PAYMENT
TXN1020,2024-01-06,1857.2,PAYMENT
TXN1021,2024-01-31,1234.56,PAYMENT
TXN1022,2024-01-06,999.99,PAYMENT
TXN1023,2024-01-11,450.00,PAYMENT
TXN1024,2024-01-09,-320.00,REFUND
TXN1025,2024-01-16,780.50,PAYMENT
